ID,STATUS,NAME,LOCATION,MUNIC,ZIPCITY,ZIPCODE,COUNTY,X_COORD,Y_COORD,RESTRICT,CAPACITY,OWNER,PARK_FEE,D_PARK_FEE,M_PARK_FEE,SERV_TRANS,TRANS_OP_1,TRANS_OP_2
103,OPEN,LIBRARY LRT STA-BROWNSVILLE RD AT PLEASANT ST-SOUTH PARK,BROWNSVILLE RD. AT PLEASANT ST.,SOUTH PARK TOWNSHIP,SOUTH PARK,15129,ALLEGHENY,40.287381,-80.0206,NONE,430,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,MID MON VALLEY TRANSIT AUTHORITY
106,OPEN,BLAIRSVILLE-RT 119 AT RT 22-BURRELL TWP,US 119 AT US 22 (WILLIAM PENN HWY.),BURRELL TOWNSHIP,BLAIRSVILLE,15717,INDIANA,40.444882,-79.21991,NONE,67,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,$0.00 ,$0.00 ,YES,INDIANA COUNTY TRANSIT AUTHORITY,NONE
107,OPEN,MMVTA TRANSIT CENTER-13TH ST AT LINCOLN AVE-CHARLEROI,13TH ST. AT RT. 88 (LINCOLN AVE.),CHARLEROI BOROUGH,CHARLEROI,15022,WASHINGTON,40.14565,-79.90625,NONE,10,MID MON VALLEY TRANSIT AUTHORITY,NO,$0.00 ,$0.00 ,YES,MID MON VALLEY TRANSIT AUTHORITY,NONE
108,OPEN,WEST BUSWAY-IDLEWOOD STA-IDLEWOOD RD AT MORANGE RD-CARNEGIE,IDLEWOOD RD. AT MORANGE RD.,CITY OF PITTSBURGH,PITTSBURGH,15205,ALLEGHENY,40.42548,-80.07282,TRANSIT ONLY,33,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
110,OPEN,MMVTA-CALIFORNIA UNIVERSITY OF PA-RT 88-WEST BROWNSVILLE,"RT. 88 (CALIFORNIA RD.), SOUTH OF EDWARD ST.",CALIFORNIA BOROUGH,WEST BROWNSVILLE,15417,WASHINGTON,40.050776,-79.895557,NONE,71,MID MON VALLEY TRANSIT AUTHORITY,NO,$0.00 ,$0.00 ,YES,MID MON VALLEY TRANSIT AUTHORITY,FAYETTE AREA COORDINATED TRANSPORTATION
112,OPEN,CHAMBER PLAZA-OFF MCKEAN AVE AT 5TH ST-CHARLEROI,OFF RT. 88 (MCKEAN AVE.) AT 5TH ST.,CHARLEROI BOROUGH,CHARLEROI,15022,WASHINGTON,40.13937,-79.89714,NONE,50,PRIVATE,NO,$0.00 ,$0.00 ,YES,MID MON VALLEY TRANSIT AUTHORITY,NONE
114,OPEN,SPRING GARDEN LOOP-SPRING GARDEN AVE-SPRING GARDEN,SPRING GARDEN AVE. BETWEEN WICKLINES LN. & HAUG ST.,CITY OF PITTSBURGH,PITTSBURGH,15212,ALLEGHENY,40.466555,-79.985366,TRANSIT ONLY,14,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
117,OPEN,FACT TRANSIT CENTER-AIRPORT RD-OFF RT 119-LEMONT FURNACE,AIRPORT RD. OFF RT. 119 (UNIVERSITY DR.),DUNBAR TOWNSHIP,LEMONT FURNACE,15456,FAYETTE,39.961632,-79.653089,TRANSIT ONLY,18,FAYETTE AREA COORDINATED TRANSPORTATION,NO,$0.00 ,$0.00 ,YES,FAYETTE AREA COORDINATED TRANSPORTATION,NONE
118,OPEN,NCATA TRANSFER PT-E WASHINGTON ST AT CROTON AVE-NEW CASTLE,E. WASHINGTON ST. AT N. CROTON AVE.,CITY OF NEW CASTLE,NEW CASTLE,16101,LAWRENCE,40.99958,-80.34146,NONE,250,NEW CASTLE AREA TRANSIT AUTHORITY,YES,$5.00 ,$0.00 ,YES,NEW CASTLE AREA TRANSIT AUTHORITY,NONE
120,OPEN,TARENTUM-4TH AVE AT ROSS ST-TARENTUM BORO,4TH AVE. AT ROSS ST.,TARENTUM BOROUGH,TARENTUM,15084,ALLEGHENY,40.60038,-79.75675,TRANSIT ONLY,29,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
123,OPEN,CURRIE RD OFF RT 422-MUDDY CREEK TWP,CURRIE RD OFF US 422,MUDDY CREEK TOWNSHIP,PORTERSVILLE,16051,BUTLER,40.968476,-80.144063,NONE,25,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,$0.00 ,$0.00 ,NO,NONE,NONE
126,OPEN,CROOKHAM-RT 88 AT GINGER HILL RD-UNION TWP,RT. 88 AT GINGER HILL RD,UNION TOWNSHIP,FINLEYVILLE,15332,WASHINGTON,40.20943,-79.98445,NONE,50,MID MON VALLEY TRANSIT AUTHORITY,NO,$0.00 ,$0.00 ,YES,MID MON VALLEY TRANSIT AUTHORITY,NONE
127,OPEN,MCKEESPORT TRANSPORTATION CENTER-LYSLE BLVD-MCKEESPORT,541 LYSLE BLVD,CITY OF MCKEESPORT,MCKEEPORT,15132,ALLEGHENY,40.35221,-79.86102,TRANSIT ONLY,68,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
128,OPEN,MMVTA BUS GARAGE-E 8TH ST-DONORA,EAST 8TH ST.,DONORA BOROUGH,DONORA,15033,WASHINGTON,40.181093,-79.854734,TRANSIT ONLY,11,MID MON VALLEY TRANSIT AUTHORITY,NO,$0.00 ,$0.00 ,YES,MID MON VALLEY TRANSIT AUTHORITY,NONE
130,OPEN,FACT TRANSFER CENTER-TRANSIT DR OFF MATTHEW DR-UNIONTOWN,111 TRANSIT DR. OFF MATTHEW DR.,SOUTH UNION TOWNSHIP,UNIONTOWN,15401,FAYETTE,39.909961,-79.757245,TRANSIT ONLY,37,FAYETTE AREA COORDINATED TRANSPORTATION,NO,$0.00 ,$0.00 ,YES,FAYETTE AREA COORDINATED TRANSPORTATION,NONE
131,OPEN,UNIONTOWN-RT 51 AT TURNPIKE 43-NORTH UNION TWP,RT. 51 (PITTSBURGH RD),NORTH UNION TOWNSHIP,UNIONTOWN,15401,FAYETTE,39.918638,-79.724704,NONE,92,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,$0.00 ,$0.00 ,YES,FAYETTE AREA COORDINATED TRANSPORTATION,NONE
132,OPEN,MCCONNELLS MILL-RT 19 AT RT 422-MUDDY CREEK TWP,RT. 19 AT RT. 422,MUDDY CREEK TWP,PORTERSVILLE,16051,BUTLER,40.96637,-80.16161,NONE,41,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,$0.00 ,$0.00 ,NO,NONE,NONE
133,OPEN,MULDOWNEY-MULDOWNEY AVE AT INTERBORO AVE-LINCOLN PLACE,MULDOWNEY AVE. AT INTERBORO AVE.,CITY OF PITTSBURGH,PITTSBURGH,15207,ALLEGHENY,40.36848,-79.91383,TRANSIT ONLY,15,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
134,OPEN,LIVING WATERS FAMILY WORSHIP CENTER-PENNSYLVANIA AVE-IRWIN,8800 PENNSYLVANIA AVE,NORTH HUNTINGDON TOWNSHIP,IRWIN,15642,WESTMORELAND,40.321363,-79.686469,TRANSIT ONLY,70,PRIVATE,NO,$0.00 ,$0.00 ,YES,WESTMORELAND TRANSIT,NONE
135,OPEN,CARPENTER LANE-RT 30-NORTH HUNTINGDON TWP,ROUTE 30 WEST OF CARPENTER LANE,NORTH HUNTINGDON TOWNSHIP,IRWIN,15642,WESTMORELAND,40.346327,-79.765651,TRANSIT ONLY,250,WESTMORELAND COUNTY TRANSIT AUTHORITY,NO,$0.00 ,$0.00 ,YES,WESTMORELAND TRANSIT,NONE
136,OPEN,RT 28 EXIT 18-FREEPORT RD-SOUTH BUFFALO TWP,FREEPORT RD SOUTH OF RT 28 IN SLATE LICK,SOUTH BUFFALO TOWNSHIP,FREEPORT,16229,ARMSTRONG,40.755768,-79.643742,NONE,52,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,$0.00 ,$0.00 ,NO,NONE,NONE
137,OPEN,RT 422 WEST OF RT 388-SHENANGO TWP,RT 422 BETWEEN RT 388 AND BALDWIN ROAD,SHENANGO TOWNSHIP,NEW CASTLE,16101,LAWRENCE,40.975945,-80.275265,NONE,188,NEW CASTLE AREA TRANSIT AUTHORITY,NO,$0.00 ,$0.00 ,YES,NEW CASTLE AREA TRANSIT AUTHORITY,NONE
138,OPEN,PLUM-RT 286 AT NEW TEXAS RD-PLUM BORO,RT 286 (GOLDEN MILE HWY.) AT NEW TEXAS RD.,PLUM BOROUGH,PITTSBURGH,15239,ALLEGHENY,40.45038,-79.7135,TRANSIT ONLY,64,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
142,OPEN,MID TOWN PLAZA-450 S MAIN ST-GREENSBURG,450 S MAIN ST,MUNICIPALITY OF GREENSBURG,CITY OF GREENSBURG,15601,WESTMORELAND,40.29832,-79.54392,TRANSIT ONLY,45,WESTMORELAND TRANSIT,NO,$0.00 ,$0.00 ,YES,WESTMORELAND TRANSIT,NONE
143,OPEN,FIVE STAR TRAIL-HIGHLAND AVE AT PITTSBURGH ST-GREENSBURG,430 E PITTSBURGH ST,MUNICIPALITY OF GREENSBURG,CITY OF GREENSBURG,15601,WESTMORELAND,40.30274,-79.53671,TRANSIT ONLY,28,WESTMORELAND TRANSIT,NO,$0.00 ,$0.00 ,YES,WESTMORELAND TRANSIT,NONE
145,OPEN,RT 88 AT MCKEAN AVE-NORTH CHARLEROI,RT 88 AT MCKEAN AVE,CHARLEROI BOROUGH,CHARLEROI,15022,WASHINGTON,40.14656,-79.90644,NONE,19,MID MON VALLEY TRANSIT AUTHORITY,NO,$0.00 ,$0.00 ,YES,MID MON VALLEY TRANSIT AUTHORITY,NONE
147,OPEN,HAMPTON-RT 8 NEAR DUNCAN AVE-HAMPTON TWP,WILLIAM FLYNN HWY (RT 8) SOUTH OF DUNCAN AVE.,HAMPTON TOWNSHIP,ALLISON PARK,15101,ALLEGHENY,40.558643,-79.959548,NONE,80,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,$0.00 ,$0.00 ,YES,BUTLER TRANSIT AUTHORITY,NONE
148,OPEN,HARMAR-OFF FREEPORT RD AT ALPHA DR-HARMAR TWP,THE LANDINGS SHOPPING CENTER AT ALPHA DR. OFF OF FREEPORT RD.,HARMAR TOWNSHIP,PITTSBURGH,15238,ALLEGHENY,40.539841,-79.836069,TRANSIT ONLY,167,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,$0.00 ,$0.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
149,OPEN,FOREST HILLS PRESBYTERIAN CHURCH-ARDMORE BLVD-FOREST HILLS,1840 ARDMORE BLVD.,FOREST HILLS BOROUGH,PITTSBURGH,15221,ALLEGHENY,40.425394,-79.861681,NONE,100,PRIVATE,YES,$2.00 ,$25.00 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
150,OPEN,NED'S FITNESS SUPPLIES-SAW MILL RUN BLVD-OVERBROOK,2859 SAW MILL RUN BLVD.,CITY OF PITTSBURGH,PITTSBURGH,15227,ALLEGHENY,40.378084,-79.987145,NONE,20,PRIVATE,YES,$1.50 ,$23.50 ,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
151,OPEN,TRINITY UNITED CHURCH OF CHRIST-E PITTSBURGH ST-DELMONT BORO,39 EAST PITTSBURGH ST.,DELMONT BOROUGH,DELMONT,15626,WESTMORELAND,40.413036,-79.568966,NONE,20,PRIVATE,NO,$0.00 ,$0.00 ,YES,WESTMORELAND TRANSIT,NONE
152,OPEN,GLADE RUN CHURCH-RT 8 NEAR BROWNS HILL RD-MIDDLESEX TWP,1091 PITTSBURGH RD.,MIDDLESEX TOWNSHIP,VALENCIA,16059,BUTLER,40.715572,-79.929083,TRANSIT ONLY,14,PRIVATE,NO,$0.00 ,$0.00 ,YES,BUTLER TRANSIT AUTHORITY,NONE
153,OPEN,PULLMAN SQUARE-CDC DRIVE AT S 6TH AVE-BUTLER,120 PULLMAN SQUARE,CITY OF BUTLER,CITY OF BUTLER,16001,BUTLER,40.858805,-79.909115,TRANSIT ONLY,50,BUTLER TRANSIT AUTHORITY,NO,$0.00 ,$0.00 ,YES,BUTLER TRANSIT AUTHORITY,NONE
154,OPEN,EDCO PARK-W MAIN ST AT RAILROAD ST-EVANS CITY,154 W. MAIN ST.,EVANS CITY BOROUGH,EVANS CITY,16033,BUTLER,40.76928,-80.065888,TRANSIT ONLY BETWEEN LABOR DAY AND MEMORIAL DAY.,51,PRIVATE,NO,$0.00 ,$0.00 ,YES,BUTLER TRANSIT AUTHORITY,NONE
155,OPEN,CROSSROADS PLAZA-S MAIN ST AT US 30-GREENSBURG,1075 S. MAIN ST.,CITY OF GREENSBURG,GREENSBURG,15601,WESTMORELAND,40.286227,-79.546949,TRANSIT ONLY,45,PRIVATE,NO,$0.00 ,$0.00 ,YES,WESTMORELAND TRANSIT,NONE
156,OPEN,BAIR BLVD AT N CENTER AVE-NEW STANTON,325 NORTH CENTER AVE.,NEW STANTON BOROUGH,NEW STANTON,15672,WESTMORELAND,40.219609,-79.610998,TRANSIT ONLY,38,WESTMORELAND COUNTY TRANSIT AUTHORITY,NO,$0.00 ,$0.00 ,YES,WESTMORELAND TRANSIT,NONE
157,OPEN,COUNTRYSIDE PLAZA AT PORTER AVE-MT PLEASANT,396 COUNTRYSIDE PLAZA,MT PLEASANT BOROUGH,MT PLEASANT,15666,WESTMORELAND,40.128352,-79.549131,TRANSIT ONLY,10,PRIVATE,NO,$0.00 ,$0.00 ,YES,WESTMORELAND TRANSIT,NONE
158,OPEN,CHIPPEWA TOWN CENTER-RT 51-BEAVER FALLS,100 CHIPPEWA TOWN CENTER,CHIPPEWA TOWNSHIP,BEAVER FALLS,15010,WESTMORELAND,40.782093,-80.382318,NONE,125,PRIVATE,NO,$0.00 ,$0.00 ,YES,BEAVER COUNTY TRANSIT AUTHORITY,NONE
